portfolio_asset_id,country,sub_region_name,development_status,property_type_code,asset_size_m2,en_abs,en_int_kwh_m2
387673,41,9,1,231,113598.536795,31963509.0,281.372541423499
563774,41,9,1,231,127147.0458,16781989.5959,131.988828291754
563784,41,9,1,231,255470.24358,50967041.143,199.502847880754
563809,41,9,1,231,240731.461339,1194215.0,4.96077659877741
616162,41,9,1,231,43538.4799835,12140352.30711,278.841895989728
616166,41,9,1,231,3739.34575,1507693.6135874,403.197167201615
616168,41,9,1,231,18997.68151529,9594132.50524418,505.015967212761
616170,41,9,1,231,33783.87773137,14648933.9268343,433.607238438234
616171,41,9,1,231,9614.066955,5140767.66695516,534.71311267305
616173,41,9,1,231,20296.890022,6954290.38332033,342.628371922127
616175,41,9,1,231,22732.527973,12070229.0062187,530.967300273635
616180,41,9,1,231,17464.927873,6154001.39637316,352.363401734225
616181,41,9,1,231,21762.59464016,8113406.99792019,372.814323479056
616183,41,9,1,231,29471.39479377,10086459.9902756,342.24576274238
616184,41,9,1,231,19257.677064,13045070.6658664,677.395857377453
629284,41,9,1,231,95286.705174,24623325.3807939,258.413021374073
721228,41,9,1,231,72902.656354,18861553.79,258.722448992973
721235,41,9,1,231,59572.748108,11844916.33,198.831121715692
721239,41,9,1,231,64031.720496,10929249.15,170.684920932005
721240,41,9,1,231,102205.656099,20950195.15,204.980780414999
721251,41,9,1,231,74666.698518,10653025.28,142.674384852196
738080,41,9,1,231,129259.381311,25812575.24,199.695952264343
738111,41,9,1,231,63686.678754,22581509.0,354.571936263543
738113,41,9,1,231,69724.723433,17440891.6,250.13927257466
738147,41,9,1,231,11355.440787,2597774.39,228.769137079557
738154,41,9,1,231,19521.70739,2161234.21,110.709282073713
738230,41,9,1,231,42867.859678,6486801.46,151.320861566808
738232,41,9,1,231,21938.578935,8988128.552781,409.695111949191
738242,41,9,1,231,114667.107101,52078555.91,454.171708231277
738248,41,9,1,231,85231.534775,21181854.31,248.521329176077
798410,41,9,1,231,24926.711027,1250118.1,50.1517468006871
813421,41,9,1,231,41992.156,5435380.69312238,129.438000114173
813451,41,9,1,231,30685.024773,9629348.24304569,313.812627308635
813505,41,9,1,231,38261.264423,7425115.15560745,194.063506984991
813649,41,9,1,231,8758.987743,1467000.0,167.485107074433
814774,41,9,1,231,73359.367502,7515619.56,102.449350586278
846866,41,9,1,231,86820.454784,12912093.68,148.721792717211
870336,41,9,1,231,2285.320897,2116176.92,925.986771826206
890362,41,9,1,231,93643.43691,10161250.7996992,108.51001559741
890363,41,9,1,231,99844.897966,34703555.559,347.574650943281
890863,41,9,1,231,99645.89974,34554596.75,346.773894762968
904987,41,9,1,231,14072.481925,4016806.0,285.436927288858
905100,41,9,1,231,19976.188866,6446078.0,322.688078453813
910635,41,9,1,231,25953.289177,17949764.74,691.618107345994
910641,41,9,1,231,76112.455004,18884419.96,248.1120857159
910741,41,9,1,231,56656.337132,13448472.94,237.369262129799
910744,41,9,1,231,38273.24891,5734705.93,149.835879976775
910822,41,9,1,231,36824.984043,11768388.53,319.576201750915
910839,41,9,1,231,59449.744536,22528369.23,378.948125106877
953666,41,9,1,231,97532.35649,20568957.0,210.893674060966
953667,41,9,1,231,135806.53443,26891310.0,198.011900626629
954981,41,9,1,231,27696.75239747,4852071.17,175.185563288034
955037,41,9,1,231,1882.121877,636867.1,338.377183636551
224252,41,9,1,262,87471.611911,30283420.2408,346.208553600368
224253,41,9,1,262,9460.869908,4122214.3045,435.711974119241
224254,41,9,1,262,129768.582654,43464809.439,334.940927534745
344094,41,9,1,262,115305.164905,17602275.3973,152.658169404662
561112,41,9,1,262,16371.738272,7372326.28819534,450.308095921859
607353,41,9,1,262,7243.368201,1906082.9752152,263.148706833935
616187,41,9,1,262,20238.38064163,6448975.81615041,318.65078191508
616189,41,9,1,262,5197.22329041,2876554.65535383,553.479135803477
